Time,Tc,T
0.000000000000000000e+00,3.000000000000000000e+02,3.244754434315989897e+02
1.000000000000000056e-01,3.000000000000000000e+02,3.244754434315989897e+02
2.000000000000000111e-01,3.000000000000000000e+02,3.244754434315989897e+02
3.000000000000000444e-01,3.000000000000000000e+02,3.244754434315989897e+02
4.000000000000000222e-01,3.000000000000000000e+02,3.244754434315989897e+02
5.000000000000000000e-01,3.000000000000000000e+02,3.244754434315989897e+02
6.000000000000000888e-01,3.000000000000000000e+02,3.244754434315989897e+02
7.000000000000000666e-01,3.000000000000000000e+02,3.244754434315989897e+02
8.000000000000000444e-01,3.000000000000000000e+02,3.244754434315989897e+02
9.000000000000000222e-01,3.000000000000000000e+02,3.244754434315989897e+02
1.000000000000000000e+00,3.030000000000000000e+02,3.250746210002531029e+02
1.100000000000000089e+00,3.030000000000000000e+02,3.256227109949380178e+02
1.200000000000000178e+00,3.030000000000000000e+02,3.261270116683272136e+02
1.300000000000000044e+00,3.030000000000000000e+02,3.265933474626007182e+02
1.400000000000000133e+00,3.030000000000000000e+02,3.270264152640633597e+02
1.500000000000000000e+00,3.030000000000000000e+02,3.274300407732680469e+02
1.600000000000000089e+00,3.030000000000000000e+02,3.278073703638276015e+02
1.700000000000000178e+00,3.030000000000000000e+02,3.281610160231219311e+02
1.800000000000000044e+00,3.030000000000000000e+02,3.284931658015852918e+02
1.900000000000000133e+00,3.030000000000000000e+02,3.288056689351308819e+02
2.000000000000000000e+00,3.030000000000000000e+02,3.291001015206399529e+02
2.100000000000000089e+00,3.030000000000000000e+02,3.293778180717076793e+02
2.200000000000000178e+00,3.030000000000000000e+02,3.296399920992951138e+02
2.300000000000000266e+00,3.030000000000000000e+02,3.298876481871156443e+02
2.400000000000000355e+00,3.030000000000000000e+02,3.301216876093616293e+02
2.500000000000000000e+00,3.030000000000000000e+02,3.303429089443926046e+02
2.600000000000000089e+00,3.030000000000000000e+02,3.305520247438310548e+02
2.700000000000000178e+00,3.030000000000000000e+02,3.307496750950993487e+02
2.800000000000000266e+00,3.030000000000000000e+02,3.309364387225612063e+02
2.900000000000000355e+00,3.030000000000000000e+02,3.311128421268389275e+02
3.000000000000000000e+00,3.030000000000000000e+02,3.312793671517080725e+02
3.100000000000000089e+00,3.030000000000000000e+02,3.314364572827998927e+02
3.200000000000000178e+00,3.030000000000000000e+02,3.315845229162472378e+02
3.300000000000000266e+00,3.030000000000000000e+02,3.317239457508236455e+02
3.400000000000000355e+00,3.030000000000000000e+02,3.318550823527191369e+02
3.500000000000000000e+00,3.030000000000000000e+02,3.319782673509554911e+02
3.600000000000000089e+00,3.030000000000000000e+02,3.320938168171250595e+02
3.700000000000000178e+00,3.030000000000000000e+02,3.322020302725586589e+02
3.800000000000000266e+00,3.030000000000000000e+02,3.323031926544396129e+02
3.900000000000000355e+00,3.030000000000000000e+02,3.323975760630491436e+02
4.000000000000000000e+00,3.030000000000000000e+02,3.324854412783547559e+02
4.100000000000000533e+00,3.030000000000000000e+02,3.325670390795244771e+02
4.200000000000000178e+00,3.030000000000000000e+02,3.326426113951970365e+02
4.299999999999999822e+00,3.030000000000000000e+02,3.327123923066388329e+02
4.400000000000000355e+00,3.030000000000000000e+02,3.327766093053666623e+02
4.500000000000000000e+00,3.030000000000000000e+02,3.328354833698904258e+02
4.600000000000000533e+00,3.030000000000000000e+02,3.328892296669617963e+02
4.700000000000000178e+00,3.030000000000000000e+02,3.329380584654385871e+02
4.800000000000000711e+00,3.030000000000000000e+02,3.329821755813063646e+02
4.900000000000000355e+00,3.030000000000000000e+02,3.330217827718139461e+02
5.000000000000000000e+00,3.030000000000000000e+02,3.330570780711802286e+02
5.100000000000000533e+00,3.030000000000000000e+02,3.330882560678684285e+02
5.200000000000000178e+00,3.030000000000000000e+02,3.331155081259483381e+02
5.300000000000000711e+00,3.030000000000000000e+02,3.331390225538622190e+02
